parameter,mean,median,sd,lower,upper,truth,bias,rmse,coverage,width,regime,replicate,start
tau_IR,0.07533989697266709,0.07557566660128967,0.012905400599359436,0.049365841227540556,0.0997818763759514,0.03,0.04533989697266709,0.04533989697266709,FALSE,0.050416035148410844,High,1,low
tau_RR,0.07467836883716461,0.07339459234478615,0.014444786622062354,0.05104162258719057,0.10983678587095184,0.03,0.04467836883716461,0.04467836883716461,FALSE,0.058795163283761276,High,1,low
tau_SE,0.0742370158382539,0.07388551829459471,0.011008701652044317,0.054730305662217094,0.09753628910182041,0.03,0.0442370158382539,0.0442370158382539,FALSE,0.04280598343960332,High,1,low
tau_SI,0.07359105729794133,0.07264754855588382,0.013716165873843838,0.05268767357204114,0.10776525987315266,0.06,0.013591057297941328,0.013591057297941328,TRUE,0.05507758630111152,High,1,low
tau_SR,0.0767342270281902,0.07581135440180528,0.014079588361042365,0.05351740236784885,0.10589543751807193,0.03,0.0467342270281902,0.0467342270281902,FALSE,0.05237803515022308,High,1,low
tau_SS,0.0728634326159585,0.07289277066214103,0.012359612995787634,0.049886983431350146,0.09834851472879531,0.03,0.0428634326159585,0.0428634326159585,FALSE,0.04846153129744517,High,1,low
xi,0.06366231641758383,0.061185923909716604,0.022673121709597472,0.02883967088076722,0.11708940078161131,0.05,0.013662316417583822,0.013662316417583822,TRUE,0.08824972990084409,High,1,low
beta,0.3057601137701696,0.2986010213289413,0.05309529545106433,0.21418176621794383,0.41581479620924205,0.3,0.005760113770169606,0.005760113770169606,TRUE,0.20163302999129823,High,1,medium
c,0.9499948183375518,0.9503042919533202,0.005733204223571575,0.9389170461004883,0.9602177383221995,0.95,-5.18166244811713e-6,5.18166244811713e-6,TRUE,0.02130069222171116,High,1,medium
eta_EE,0.07581831508720271,0.0753150810732357,0.013289866937061816,0.05037360273389499,0.10341297257066975,0.08,-0.004181684912797287,0.004181684912797287,TRUE,0.053039369836774763,High,1,medium
eta_EI,0.07506418446640972,0.07429756077138668,0.013227288209122064,0.05059135373869613,0.10130265427735305,0.08,-0.004935815533590279,0.004935815533590279,TRUE,0.05071130053865692,High,1,medium
eta_ER,0.0765902698297754,0.07429918106296937,0.015324283875012563,0.04804944124137865,0.11055079554394288,0.08,-0.003409730170224598,0.003409730170224598,TRUE,0.06250135430256423,High,1,medium
eta_II,0.0763793997157043,0.07632326109639774,0.012395430162184659,0.05304310708107595,0.09882025904916969,0.04,0.0363793997157043,0.0363793997157043,FALSE,0.04577715196809374,High,1,medium
eta_IR,0.0770311677697377,0.07574494038367655,0.014595892861702348,0.05085836207358626,0.10614181794436327,0.08,-0.0029688322302623,0.0029688322302623,TRUE,0.05528345587077701,High,1,medium
eta_RR,0.07623451725825366,0.07463112616030602,0.013784406051812591,0.05185782881198434,0.10424288537949165,0.08,-0.0037654827417463455,0.0037654827417463455,TRUE,0.05238505656750731,High,1,medium
eta_SE,0.07763200954297357,0.077272014843657,0.012220881015173202,0.053556170994727495,0.0993791182311844,0.08,-0.002367990457026431,0.002367990457026431,TRUE,0.0458229472364569,High,1,medium
eta_SI,0.0758188492077511,0.07536375233575096,0.014677529222448598,0.05157581919329755,0.10164092032945908,0.05,0.0258188492077511,0.0258188492077511,FALSE,0.050065101136161534,High,1,medium
eta_SR,0.07573786014048631,0.07463519466449706,0.01460508287087551,0.050485372423783204,0.10676843345072108,0.08,-0.0042621398595136945,0.0042621398595136945,TRUE,0.05628306102693788,High,1,medium
eta_SS,0.07914804180508345,0.07801189577012091,0.013850072000565379,0.055559428677406215,0.10744462065364628,0.08,-8.51958194916555e-4,8.51958194916555e-4,TRUE,0.051885191976240065,High,1,medium
gamma,0.30101787931750823,0.29819200461742607,0.052185781193924585,0.19604081881672364,0.401129045695632,0.25,0.05101787931750823,0.05101787931750823,TRUE,0.20508822687890838,High,1,medium
kappa,0.3617591329963417,0.3530011791766451,0.09331725594508193,0.1877317979005442,0.5390371492339762,0.4,-0.03824086700365831,0.03824086700365831,TRUE,0.351305351333432,High,1,medium
p_E,0.5984282517537973,0.5962689630945975,0.046330559795197505,0.5102596313198212,0.6799601220804756,0.6,-0.0015717482462026533,0.0015717482462026533,TRUE,0.1697004907606544,High,1,medium
p_I,0.8337435379693268,0.8350840726380244,0.03344631551601676,0.762948114128006,0.8920051586011564,0.85,-0.016256462030673213,0.016256462030673213,TRUE,0.12905704447315036,High,1,medium
s,0.8997810735004825,0.9018394553398106,0.010475835304596583,0.8788324877352393,0.9189674613868157,0.9,-2.189264995174911e-4,2.189264995174911e-4,TRUE,0.04013497365157648,High,1,medium
tau_EE,0.07599019840704627,0.07511028341044111,0.013995305144370187,0.05177948936065496,0.10276776628554396,0.03,0.04599019840704627,0.04599019840704627,FALSE,0.050988276924889,High,1,medium
tau_EI,0.07520166927689496,0.07515516890539373,0.013586038014425561,0.05139910262740445,0.10388029798599355,0.03,0.045201669276894965,0.045201669276894965,FALSE,0.0524811953585891,High,1,medium
tau_ER,0.07425869191031005,0.07455672449938394,0.01327883187032934,0.049274814154854615,0.10115102753841909,0.03,0.04425869191031005,0.04425869191031005,FALSE,0.051876213383564476,High,1,medium
tau_II,0.0752996820049435,0.07451331389250088,0.014193743923407418,0.04692708443868823,0.10386189775231974,0.07,0.00529968200494349,0.00529968200494349,TRUE,0.05693481331363151,High,1,medium
tau_IR,0.07400425190750759,0.07297403910259505,0.013072173687276064,0.050233641298674844,0.10216271036577096,0.03,0.04400425190750759,0.04400425190750759,FALSE,0.051929069067096115,High,1,medium
tau_RR,0.07222603860811655,0.0718866491709865,0.011835403271913863,0.051879695461457015,0.09518031563696332,0.03,0.04222603860811655,0.04222603860811655,FALSE,0.0433006201755063,High,1,medium
